id,pdbid,NAKBnaList,NAKBprotList,NAKBligList
4TZV,4TZV,"enzyme cofactor riboswitch,function,protein synthesis,riboswitch,transfer RNA","ribonucleoprotein,ribosome,structural",
4TZW,4TZW,"enzyme cofactor riboswitch,function,protein synthesis,riboswitch,transfer RNA","ribonucleoprotein,ribosome,structural",
4TZZ,4TZZ,"enzyme cofactor riboswitch,function,protein synthesis,riboswitch,transfer RNA","ribonucleoprotein,ribosome,structural",
4U0Y,4U0Y,"double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
4U1U,4U1U,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U1V,4U1V,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U20,4U20,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U24,4U24,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U25,4U25,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U26,4U26,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U27,4U27,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U3M,4U3M,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U3N,4U3N,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U3U,4U3U,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4N,4U4N,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4O,4U4O,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4Q,4U4Q,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4R,4U4R,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4U,4U4U,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4Y,4U4Y,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U4Z,4U4Z,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U50,4U50,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U51,4U51,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U52,4U52,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U53,4U53,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U55,4U55,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U56,4U56,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U67,4U67,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4U6F,4U6F,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4U6P,4U6P,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
4U7C,4U7C,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
4U8A,4U8A,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
4U8B,4U8B,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
4U8C,4U8C,"B-form double helix,DNA dodecamer,double helix,feature,structure",,minor groove binding
4UE4,4UE4,"SRP RNA,function,translation regulating","ribonucleoprotein,signal recognition particle (SRP),structural",
4UE5,4UE5,"SRP RNA,function,translation regulating","ribonucleoprotein,signal recognition particle (SRP),structural",
4UER,4UER,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4UG0,4UG0,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4UJC,4UJC,"IRES element,function,protein synthesis,ribosomal RNA,transfer RNA,translation regulating","regulatory,ribonucleoprotein,ribosome,structural,translation",
4UJD,4UJD,"IRES element,function,protein synthesis,ribosomal RNA,transfer RNA,translation regulating","regulatory,ribonucleoprotein,ribosome,structural,translation",
4UJE,4UJE,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4UMK,4UMK,"B-form double helix,double helix,structure","cell cycle,chromatin,regulatory,structural",
4UMM,4UMM,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),Zinc-coordinating,nuclear receptor ZnC4,regulatory,transcription",
4UN7,4UN7,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UN8,4UN8,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UN9,4UN9,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UNA,4UNA,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UNB,4UNB,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UNC,4UNC,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UNO,4UNO,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
4UQG,4UQG,"B-form double helix,double helix,structure","enzyme,polymerase,transferase",
4UT0,4UT0,"B-form double helix,double helix,structure","enzyme,hydrolase,nuclease",
4UUS,4UUS,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),homeodomain,regulatory,transcription",
4UX5,4UX5,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
4UY8,4UY8,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4UYJ,4UYJ,"SRP RNA,function,translation regulating","ribonucleoprotein,signal recognition particle (SRP),structural",
4UYK,4UYK,"SRP RNA,function,translation regulating","ribonucleoprotein,signal recognition particle (SRP),structural",
4UZB,4UZB,"B-form double helix,double helix,structure","DNA replication/repair,regulatory",
4V19,4V19,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V2S,4V2S,"function,trans-acting transcriptional regulator,transcription regulating","regulatory,translation",
4V3P,4V3P,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V42,4V42,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V47,4V47,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V48,4V48,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V49,4V49,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4A,4V4A,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V4B,4V4B,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V4F,4V4F,"antitermination element,function,transcription regulating","RNA-binding transcription factor,regulatory,transcription",
4V4G,4V4G,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V4H,4V4H,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V4I,4V4I,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4J,4V4J,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4N,4V4N,"function,protein synthesis,ribosomal RNA,transfer RNA","SEC channel,ribonucleoprotein,ribosome,structural",
4V4P,4V4P,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4Q,4V4Q,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V4R,4V4R,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V4S,4V4S,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V4T,4V4T,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4V,4V4V,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4W,4V4W,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4X,4V4X,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4Y,4V4Y,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V4Z,4V4Z,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V50,4V50,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V51,4V51,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V52,4V52,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V53,4V53,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V54,4V54,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V55,4V55,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V56,4V56,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V57,4V57,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V5A,4V5A,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5B,4V5B,"function,protein synthesis,ribosomal RNA","enzyme,hydrolase,ribonucleoprotein,ribosome,structural",
4V5C,4V5C,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V5D,4V5D,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V5E,4V5E,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5F,4V5F,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5G,4V5G,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5H,4V5H,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V5J,4V5J,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5K,4V5K,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,toxin/antitoxin,translation",
4V5L,4V5L,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5M,4V5M,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5N,4V5N,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5O,4V5O,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5P,4V5P,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5Q,4V5Q,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5R,4V5R,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5S,4V5S,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5Y,4V5Y,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V5Z,4V5Z,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V61,4V61,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V63,4V63,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V64,4V64,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V65,4V65,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V66,4V66,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V67,4V67,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V68,4V68,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V69,4V69,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6A,4V6A,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6C,4V6C,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V6D,4V6D,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6E,4V6E,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6F,4V6F,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6G,4V6G,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6I,4V6I,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6K,4V6K,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6L,4V6L,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6M,4V6M,"function,protein synthesis,ribosomal RNA,transfer RNA","SEC channel,cell cycle,regulatory,ribonucleoprotein,ribosome,structural",
4V6N,4V6N,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6O,4V6O,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6P,4V6P,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6Q,4V6Q,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6R,4V6R,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6S,4V6S,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6T,4V6T,"function,protein synthesis,ribosomal RNA,transfer RNA,transfer-messenger (tmRNA),translation regulating","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6U,4V6U,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6V,4V6V,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6W,4V6W,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6X,4V6X,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V6Y,4V6Y,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V6Z,4V6Z,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V70,4V70,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V71,4V71,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V72,4V72,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V73,4V73,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V74,4V74,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V75,4V75,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V76,4V76,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V77,4V77,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V78,4V78,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V79,4V79,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V7A,4V7A,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V7B,4V7B,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V7C,4V7C,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V7D,4V7D,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V7E,4V7E,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V7F,4V7F,"function,protein synthesis,ribosomal RNA","enzyme,hydrolase,protease,regulatory,ribonucleoprotein,ribosome,structural,translation",
4V7H,4V7H,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V7I,4V7I,"function,protein synthesis,ribosomal RNA","SEC channel,ribonucleoprotein,ribosome,structural",
4V7J,4V7J,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,toxin/antitoxin,translation",
4V7K,4V7K,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,toxin/antitoxin,translation",
4V7L,4V7L,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V7M,4V7M,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V7P,4V7P,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V7R,4V7R,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7S,4V7S,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7T,4V7T,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7U,4V7U,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7V,4V7V,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7W,4V7W,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7X,4V7X,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7Y,4V7Y,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V7Z,4V7Z,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V83,4V83,"IRES element,function,protein synthesis,ribosomal RNA,translation regulating","ribonucleoprotein,ribosome,structural",
4V84,4V84,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V85,4V85,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V87,4V87,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V88,4V88,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V89,4V89,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8A,4V8A,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V8B,4V8B,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8C,4V8C,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8D,4V8D,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8E,4V8E,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8F,4V8F,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8G,4V8G,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8H,4V8H,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8I,4V8I,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V8J,4V8J,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8M,4V8M,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8N,4V8N,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V8O,4V8O,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8P,4V8P,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8Q,4V8Q,"function,protein synthesis,ribosomal RNA,transfer RNA,transfer-messenger (tmRNA),translation regulating","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8T,4V8T,"function,protein synthesis,ribosomal RNA","enzyme,hydrolase,protease,ribonucleoprotein,ribosome,structural",
4V8U,4V8U,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8X,4V8X,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,toxin/antitoxin",
4V8Y,4V8Y,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,regulatory,ribonucleoprotein,ribosome,structural,translation",
4V8Z,4V8Z,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,regulatory,ribonucleoprotein,ribosome,structural,translation",
4V90,4V90,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V91,4V91,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V92,4V92,"IRES element,function,protein synthesis,ribosomal RNA,translation regulating","ribonucleoprotein,ribosome,structural",
4V95,4V95,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,translation",
4V97,4V97,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V9A,4V9A,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V9B,4V9B,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V9C,4V9C,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9D,4V9D,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9F,4V9F,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4V9H,4V9H,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9I,4V9I,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V9J,4V9J,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9K,4V9K,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9L,4V9L,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9M,4V9M,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9N,4V9N,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9O,4V9O,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9P,4V9P,"function,protein synthesis,ribosomal RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4V9Q,4V9Q,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V9R,4V9R,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4V9S,4V9S,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4W29,4W29,"function,protein synthesis,ribosomal RNA,transfer RNA","regulatory,ribonucleoprotein,ribosome,structural,translation",
4W2E,4W2E,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4W2F,4W2F,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4W2G,4W2G,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4W2H,4W2H,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4W2I,4W2I,"function,protein synthesis,ribosomal RNA,transfer RNA","ribonucleoprotein,ribosome,structural",
4W4G,4W4G,"function,protein synthesis,ribosomal RNA,transfer RNA","enzyme,hydrolase,nuclease,regulatory,ribonucleoprotein,ribosome,structural,toxin/antitoxin,translation",
4W5R,4W5R,"A-form double helix,double helix,structure","enzyme,gene silencing,hydrolase,nuclease,regulatory",
4W90,4W90,"function,purine-compound riboswitch,riboswitch","ribonucleoprotein,spliceosome,structural",
4W92,4W92,"function,purine-compound riboswitch,riboswitch","ribonucleoprotein,spliceosome,structural",
4W9M,4W9M,"B-form double helix,double helix,structure","DNA replication/repair,enzyme,hydrolase,nuclease,regulatory",
4WB2,4WB2,"aptamer,function","complement,immune system,regulatory",
4WB3,4WB3,"quadruplex,structure","complement,immune system,regulatory",
4WC2,4WC2,"function,protein synthesis,transfer RNA","enzyme,polymerase,transferase",
4WC3,4WC3,"function,protein synthesis,transfer RNA","enzyme,polymerase,transferase",
4WC4,4WC4,"function,protein synthesis,transfer RNA","enzyme,polymerase,transferase",
4WC5,4WC5,"function,protein synthesis,transfer RNA","enzyme,polymerase,transferase",
4WC6,4WC6,"function,protein synthesis,transfer RNA","enzyme,polymerase,transferase",
4WC7,4WC7,"function,protein synthesis,transfer RNA","enzyme,polymerase,transferase",
4WCE,4WCE,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4WCG,4WCG,"Z-form double helix,double helix,structure","enzyme,hydrolase",
4WF1,4WF1,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4WF9,4WF9,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4WFA,4WFA,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4WFB,4WFB,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4WFN,4WFN,"function,protein synthesis,ribosomal RNA","ribonucleoprotein,ribosome,structural",
4WJ3,4WJ3,"function,protein synthesis,transfer RNA","amidotransferase,enzyme,ligase,synthetase",
4WJ4,4WJ4,"function,protein synthesis,transfer RNA","enzyme,ligase,synthetase",
4WK8,4WK8,"B-form double helix,double helix,structure","DNA-binding transcription factor (TF),helix-turn-helix (HTH),regulatory,transcription,winged helix/forkhead",
